,Plasmid,Sample,Replicate,Antibiotic,Project,Species,Vmax_day3,lag_day3,AUC_day3,ODmax_day3,Day.y,AUC,ODmax,Replicate_cntrl,y0,y0_lm,Vmax,lag,r2,Day,Treatment
1,-,Delta6,0,-,RIBO,Ec,NA,NA,"799,059,999,999,967","0,87",1,"466,53","0,815",1,NA,NA,NA,NA,NA,1,problems
2,-,Delta6,0,-,RIBO,Ec,NA,NA,"799,059,999,999,967","0,87",3,"799,059,999,999,967","0,87",1,NA,NA,NA,NA,NA,3,problems
3,-,Delta6,0,-,RIBO,Ec,NA,NA,"799,059,999,999,967","0,87",5,"732,085,000,000,001","0,836",1,NA,NA,NA,NA,NA,5,problems
4,-,Delta6,0,-,RIBO,Ec,NA,NA,"799,059,999,999,967","0,87",7,"758,809,999,999,993","0,819",1,NA,NA,NA,NA,NA,7,problems
5,-,Delta6,0,-,RIBO,Ec,NA,NA,"799,059,999,999,967","0,87",9,"818,089,999,999,992","0,89",1,NA,NA,NA,NA,NA,9,problems
6,-,Delta6,0,-,RIBO,Ec,NA,NA,7.99E+14,"0,87",11,"855,114,999,999,989","0,919",1,NA,NA,NA,NA,NA,11,problems
7,-,Delta6,0,-,RIBO,Ec,NA,NA,"799,059,999,999,967","0,87",13,"828,670,000,000,013","0,907",1,NA,NA,NA,NA,NA,13,problems
8,-,Delta6,0,-,RIBO,Ec,NA,NA,"799,059,999,999,967","0,87",15,"818,194,999,999,991","0,853",1,NA,NA,NA,NA,NA,15,problems
9,-,Delta6,0,-,RIBO,Ec,NA,NA,"799,059,999,999,967","0,87",17,"791,939,999,999,995","0,863",1,NA,NA,NA,NA,NA,17,problems
10,-,Delta6,0,-,RIBO,Ec,NA,NA,"799,059,999,999,967","0,87",19,"972,024,999,999,992","1,093",1,NA,NA,NA,NA,NA,19,problems
11,-,Delta6,0,-,RIBO,Ec,NA,NA,"799,059,999,999,967","0,87",21,"993,044,999,999,996","1,113",1,NA,NA,NA,NA,NA,21,problems
12,-,Delta6,1,-,RIBO,Ec,"0,00736750630454944","152,762,546,242,055",5.98E+14,"0,635",1,"422,735,000,000,005","0,616",2,"0,093","0,00417485061592713","0,006072344667414","511,091,034,203,188","0,999662829735039",1,problems
13,-,Delta6,1,-,RIBO,Ec,"0,00736750630454944","152,762,546,242,055","598,030,000,000,012","0,635",3,"598,030,000,000,012","0,635",2,"0,102","0,0330986928526556","0,00736750630454944","152,762,546,242,055","0,999649349794041",3,problems
14,-,Delta6,1,-,RIBO,Ec,"0,00736750630454944","152,762,546,242,055","598,030,000,000,012","0,635",5,"640,395,000,000,005","0,677",2,"0,107","0,0420103071193132","0,0061165822760905","152,849,057,935,166","0,999657390745664",5,problems
15,-,Delta6,1,-,RIBO,Ec,"0,00736750630454944","152,762,546,242,055","598,030,000,000,012","0,635",7,"659,355","0,77",2,"0,212","0,0450527483667038","0,00666940290057878","232,217,532,594,119","0,99977679020573",7,problems
16,-,Delta6,1,-,RIBO,Ec,"0,00736750630454944","152,762,546,242,055","598,030,000,000,012","0,635",9,"752,704,999,999,989","0,803",2,"0,099","0,030784165141383","0,00861061931194329","13,566,032,463,257","0,999616214739732",9,problems
17,-,Delta6,1,-,RIBO,Ec,"0,00736750630454944","152,762,546,242,055","598,030,000,000,012","0,635",11,"775,095","0,837",2,"0,108","0,0488134282907002","0,00846417336660917","938,220,128,333,863","0,998844188083244",11,problems
18,-,Delta6,1,-,RIBO,Ec,"0,00736750630454944","152,762,546,242,055",5.98E+14,"0,635",13,"764,029,999,999,999","0,841",2,"0,1","0,0328894639717441","0,0087841471245582","126,593,715,674,098","0,999091206394015",13,problems
19,-,Delta6,1,-,RIBO,Ec,"0,00736750630454944","152,762,546,242,055","598,030,000,000,012","0,635",15,"796,134,999,999,993","0,848",2,"0,121","0,0565698347848881","0,0078249478247538","971,654,602,454,508","0,998768769310078",15,problems
20,-,Delta6,1,-,RIBO,Ec,"0,00736750630454944","152,762,546,242,055","598,030,000,000,012","0,635",17,"766,889,999,999,995","0,88",2,"0,108","0,0512633165389007","0,00753471770239588","988,963,140,204,471","0,998860074811256",17,problems
21,-,Delta6,1,-,RIBO,Ec,"0,00736750630454944","152,762,546,242,055","598,030,000,000,012","0,635",19,"685,785,000,000,004","0,795",2,"0,108","0,0257085285082348","0,00900783635741653","159,339,977,409,937","0,999529297844427",19,problems
22,-,Delta6,1,-,RIBO,Ec,"0,00736750630454944","152,762,546,242,055","598,030,000,000,012","0,635",21,"791,95","0,904",2,"0,104","0,0354485322713283","0,00907165436546933","118,645,288,548,543","0,998977995499478",21,problems
23,-,Delta6,2,-,RIBO,Ec,"0,00434002529969205","120,488,401,324,081","668,939,999,999,989","0,719",1,"420,554,999,999,999","0,601",3,"0,091","0,00448602741250488","0,00610773844589423","49,279,974,681,661","0,999637927183526",1,problems
24,-,Delta6,2,-,RIBO,Ec,"0,00434002529969205","120,488,401,324,081",6.69E+14,"0,719",3,"668,939,999,999,989","0,719",3,"0,112","0,0663919730404043","0,00434002529969205","120,488,401,324,081","0,999684959620274",3,problems
25,-,Delta6,2,-,RIBO,Ec,"0,00434002529969205","120,488,401,324,081","668,939,999,999,989","0,719",5,"690,510,000,000,001","0,766",3,"0,104","0,043499177446739","0,006454829062991","135,038,257,712,124","0,999885859779533",5,problems
26,-,Delta6,2,-,RIBO,Ec,"0,00434002529969205","120,488,401,324,081","668,939,999,999,989","0,719",7,"663,779,999,999,992","0,699",3,"0,095","0,0261721575175528","0,00710442305344531","181,461,707,215,421","0,999667804109603",7,problems
27,-,Delta6,2,-,RIBO,Ec,"0,00434002529969205","120,488,401,324,081","668,939,999,999,989","0,719",9,"721,354,999,999,997","0,811",3,"0,12","0,0765512555977958","0,00644056445450489","697,968,666,668,389","0,99954345458857",9,problems
