

Software Version	3.11.19



Experiment File Path:	C:\Users\PBE\Desktop\Alphonso\Placa 2 dia 1.xpt
Protocol File Path:	C:\Users\PBE\Desktop\CommonProtocolsPR\protocolosparalosplatereaders\DO_kinetic_37_24h_new_plates_agitation_constante.prt



Plate Number	Plate 1
Date	08/05/2023
Time	18:44:47
Reader Type:	Synergy HTX
Reader Serial Number:	2108057
Reading Type	Reader

Procedure Details

Plate Type	Nunc 96 flat bottom generic (Use plate lid)
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 1 °C
	Preheat before moving to next step
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:10:00, 145 Reads
    Shake	Orbital: 8:00 (MM:SS)
	Frequency: 365 cpm (2 mm)
    Read	Optical Density
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

Optical Density:600

Time	0:08:04	0:18:04	0:28:04	0:38:04	0:48:04	0:58:04	1:08:04	1:18:04	1:28:04	1:38:04	1:48:04	1:58:04	2:08:04	2:18:04	2:28:04	2:38:04	2:48:04	2:58:04	3:08:04	3:18:04	3:28:04	3:38:04	3:48:04	3:58:04	4:08:04	4:18:04	4:28:04	4:38:04	4:48:04	4:58:04	5:08:04	5:18:04	5:28:04	5:38:04	5:48:04	5:58:04	6:08:04	6:18:04	6:28:04	6:38:04	6:48:04	6:58:04	7:08:04	7:18:04	7:28:04	7:38:04	7:48:04	7:58:04	8:08:04	8:18:04	8:28:04	8:38:04	8:48:04	8:58:04	9:08:04	9:18:04	9:28:04	9:38:04	9:48:04	9:58:04	10:08:04	10:18:04	10:28:04	10:38:04	10:48:04	10:58:04	11:08:04	11:18:04	11:28:04	11:38:04	11:48:04	11:58:04	12:08:04	12:18:04	12:28:04	12:38:04	12:48:04	12:58:04	13:08:04	13:18:04	13:28:04	13:38:04	13:48:04	13:58:04	14:08:04	14:18:04	14:28:04	14:38:04	14:48:04	14:58:04	15:08:04	15:18:04	15:28:04	15:38:04	15:48:04	15:58:04	16:08:04	16:18:04	16:28:04	16:38:04	16:48:04	16:58:04	17:08:04	17:18:04	17:28:04	17:38:04	17:48:04	17:58:04	18:08:04	18:18:04	18:28:04	18:38:04	18:48:04	18:58:04	19:08:04	19:18:04	19:28:04	19:38:04	19:48:04	19:58:04	20:08:04	20:18:04	20:28:04	20:38:04	20:48:04	20:58:04	21:08:04	21:18:04	21:28:04	21:38:04	21:48:04	21:58:04	22:08:04	22:18:04	22:28:04	22:38:04	22:48:04	22:58:04	23:08:04	23:18:04	23:28:04	23:38:04	23:48:04	23:58:04	24:08:04	
T° Optical Density:600	36,6	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	
A1	0,101	0,102	0,103	0,105	0,107	0,111	0,115	0,120	0,127	0,135	0,143	0,153	0,166	0,181	0,200	0,223	0,245	0,266	0,280	0,296	0,312	0,327	0,343	0,358	0,373	0,390	0,408	0,425	0,442	0,462	0,487	0,515	0,543	0,571	0,594	0,618	0,641	0,667	0,698	0,745	0,801	0,864	0,918	0,956	0,988	1,010	1,024	1,033	1,048	1,057	1,060	1,071	1,085	1,089	1,091	1,096	1,114	1,118	1,121	1,131	1,138	1,148	1,155	1,159	1,167	1,173	1,180	1,187	1,191	1,193	1,198	1,204	1,204	1,212	1,216	1,220	1,227	1,233	1,235	1,242	1,240	1,256	1,256	1,255	1,263	1,264	1,274	1,275	1,277	1,286	1,286	1,293	1,300	1,299	1,309	1,310	1,315	1,314	1,321	1,323	1,325	1,330	1,331	1,333	1,337	1,333	1,342	1,344	1,345	1,348	1,347	1,352	1,350	1,353	1,355	1,360	1,360	1,364	1,366	1,370	1,373	1,372	1,374	1,377	1,379	1,380	1,383	1,384	1,391	1,387	1,391	1,393	1,393	1,396	1,398	1,401	1,401	1,401	1,402	1,405	1,407	1,406	1,408	1,410	1,412	
A2	0,087	0,087	0,087	0,087	0,088	0,088	0,087	0,087	0,087	0,088	0,088	0,087	0,088	0,088	0,087	0,088	0,088	0,087	0,087	0,088	0,088	0,088	0,087	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,087	0,088	0,088	0,088	0,088	0,087	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,087	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,089	0,088	0,088	0,088	0,088	0,089	0,088	0,088	0,088	0,089	0,088	0,088	0,088	0,088	0,089	
A3	0,102	0,103	0,104	0,108	0,110	0,113	0,118	0,123	0,131	0,144	0,155	0,170	0,193	0,231	0,297	0,340	0,380	0,427	0,451	0,497	0,533	0,537	0,538	0,524	0,515	0,503	0,492	0,479	0,468	0,457	0,446	0,438	0,433	0,433	0,439	0,447	0,458	0,474	0,494	0,519	0,555	0,644	0,774	0,884	0,956	0,994	1,014	1,018	1,039	1,052	1,059	1,071	1,096	1,095	1,101	1,107	1,115	1,124	1,130	1,133	1,143	1,152	1,162	1,167	1,174	1,180	1,188	1,196	1,200	1,202	1,204	1,212	1,217	1,223	1,227	1,232	1,239	1,242	1,246	1,254	1,259	1,264	1,267	1,272	1,275	1,280	1,286	1,290	1,296	1,301	1,304	1,309	1,312	1,314	1,319	1,323	1,327	1,329	1,333	1,337	1,339	1,343	1,345	1,346	1,351	1,346	1,353	1,355	1,356	1,360	1,360	1,364	1,363	1,366	1,369	1,373	1,375	1,377	1,379	1,383	1,387	1,386	1,388	1,391	1,392	1,393	1,397	1,395	1,401	1,398	1,401	1,405	1,405	1,409	1,412	1,415	1,416	1,418	1,420	1,423	1,425	1,429	1,429	1,432	1,434	
A4	0,090	0,090	0,089	0,090	0,090	0,090	0,090	0,089	0,089	0,090	0,089	0,089	0,090	0,090	0,089	0,090	0,090	0,090	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,090	0,089	0,089	0,089	0,089	0,089	0,090	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,090	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,090	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,090	0,090	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,090	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	
A5	0,107	0,108	0,110	0,113	0,116	0,120	0,125	0,133	0,142	0,153	0,164	0,175	0,187	0,202	0,218	0,238	0,258	0,274	0,284	0,295	0,307	0,318	0,332	0,348	0,368	0,390	0,414	0,437	0,459	0,481	0,499	0,521	0,541	0,564	0,588	0,617	0,654	0,711	0,779	0,847	0,910	0,957	0,988	1,013	1,037	1,056	1,070	1,078	1,091	1,105	1,114	1,123	1,132	1,136	1,144	1,150	1,157	1,164	1,172	1,177	1,183	1,194	1,199	1,208	1,212	1,220	1,228	1,232	1,238	1,242	1,248	1,257	1,259	1,263	1,269	1,273	1,281	1,281	1,287	1,298	1,303	1,305	1,313	1,318	1,321	1,323	1,327	1,331	1,333	1,338	1,337	1,342	1,346	1,345	1,350	1,349	1,353	1,354	1,357	1,359	1,359	1,362	1,363	1,364	1,369	1,365	1,373	1,374	1,375	1,379	1,379	1,382	1,381	1,383	1,387	1,390	1,391	1,394	1,395	1,399	1,401	1,401	1,402	1,407	1,407	1,409	1,412	1,413	1,418	1,417	1,419	1,422	1,422	1,426	1,428	1,431	1,431	1,432	1,433	1,438	1,439	1,440	1,440	1,442	1,444	
A6	0,092	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,090	0,091	0,091	0,091	0,090	0,091	0,091	0,090	0,090	0,091	0,090	0,090	0,090	0,090	0,090	0,091	0,090	0,091	0,090	0,090	0,091	0,090	0,090	0,090	0,090	0,091	0,090	0,091	0,090	0,090	0,091	0,090	0,090	0,091	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,091	0,090	0,091	0,091	0,090	0,090	0,090	0,090	0,091	0,090	0,091	0,091	0,090	0,091	0,090	0,090	0,091	0,091	0,091	0,090	0,090	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,090	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,090	0,091	0,090	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,090	0,091	0,091	0,091	0,091	0,091	0,091	0,091	
A7	0,126	0,126	0,128	0,131	0,136	0,142	0,149	0,156	0,179	0,213	0,246	0,280	0,331	0,357	0,390	0,447	0,558	0,618	0,633	0,712	0,736	0,771	0,766	0,790	0,839	0,911	0,944	0,946	0,992	0,999	0,968	0,940	0,935	0,946	0,969	0,998	1,020	1,035	1,046	1,053	1,058	1,063	1,075	1,088	1,105	1,109	1,112	1,115	1,127	1,130	1,137	1,136	1,149	1,143	1,161	1,165	1,167	1,173	1,183	1,184	1,188	1,199	1,205	1,210	1,219	1,224	1,230	1,244	1,230	1,239	1,246	1,249	1,258	1,264	1,268	1,273	1,280	1,283	1,288	1,296	1,299	1,302	1,305	1,309	1,312	1,315	1,319	1,323	1,322	1,328	1,326	1,336	1,337	1,334	1,341	1,341	1,344	1,344	1,349	1,351	1,353	1,356	1,356	1,361	1,367	1,359	1,367	1,371	1,371	1,371	1,373	1,375	1,375	1,376	1,380	1,384	1,384	1,389	1,389	1,393	1,396	1,395	1,396	1,401	1,401	1,402	1,406	1,405	1,413	1,410	1,413	1,417	1,416	1,421	1,424	1,427	1,426	1,426	1,427	1,432	1,432	1,433	1,433	1,436	1,438	
A8	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,088	0,087	0,087	0,087	0,088	0,088	0,088	0,087	0,088	0,088	0,087	0,088	0,087	0,088	0,087	0,088	0,088	0,087	0,087	0,088	0,087	0,088	0,088	0,087	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,087	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,087	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,089	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,089	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	
A9	0,111	0,112	0,113	0,116	0,120	0,124	0,129	0,135	0,143	0,148	0,154	0,161	0,168	0,175	0,184	0,194	0,205	0,219	0,234	0,250	0,263	0,274	0,285	0,297	0,309	0,320	0,333	0,346	0,357	0,370	0,384	0,398	0,414	0,433	0,457	0,488	0,534	0,607	0,732	0,867	0,953	1,010	1,044	1,067	1,085	1,095	1,107	1,114	1,130	1,140	1,151	1,159	1,170	1,173	1,179	1,187	1,194	1,199	1,211	1,214	1,222	1,234	1,238	1,245	1,250	1,258	1,266	1,273	1,273	1,278	1,284	1,288	1,293	1,297	1,303	1,307	1,314	1,317	1,319	1,330	1,333	1,338	1,342	1,346	1,352	1,353	1,359	1,360	1,364	1,370	1,368	1,378	1,380	1,378	1,384	1,385	1,386	1,387	1,392	1,391	1,394	1,398	1,396	1,399	1,404	1,398	1,403	1,406	1,406	1,408	1,407	1,411	1,410	1,411	1,413	1,416	1,418	1,421	1,422	1,426	1,428	1,425	1,428	1,431	1,431	1,433	1,435	1,434	1,443	1,439	1,442	1,446	1,445	1,449	1,450	1,452	1,454	1,455	1,455	1,459	1,460	1,462	1,462	1,464	1,465	
