

Software Version	3.11.19



Experiment File Path:	C:\Users\PBE\Desktop\Alphonso\repeticion curvas EE\repeticion placa3dia1.xpt
Protocol File Path:	C:\Users\PBE\Desktop\CommonProtocolsPR\protocolosparalosplatereaders\DO_kinetic_37_24h_new_plates_agitation_constante.prt



Plate Number	Plate 1
Date	16/05/2023
Time	19:51:19
Reader Type:	Synergy HTX
Reader Serial Number:	2108057
Reading Type	Reader

Procedure Details

Plate Type	Nunc 96 flat bottom generic (Use plate lid)
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 1 °C
	Preheat before moving to next step
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:10:00, 145 Reads
    Shake	Orbital: 8:00 (MM:SS)
	Frequency: 365 cpm (2 mm)
    Read	Optical Density
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

Optical Density:600

Time	0:08:04	0:18:04	0:28:04	0:38:04	0:48:04	0:58:04	1:08:04	1:18:04	1:28:04	1:38:04	1:48:04	1:58:04	2:08:04	2:18:04	2:28:04	2:38:04	2:48:04	2:58:04	3:08:04	3:18:04	3:28:04	3:38:04	3:48:04	3:58:04	4:08:04	4:18:04	4:28:04	4:38:04	4:48:04	4:58:04	5:08:04	5:18:04	5:28:04	5:38:04	5:48:04	5:58:04	6:08:04	6:18:04	6:28:04	6:38:04	6:48:04	6:58:04	7:08:04	7:18:04	7:28:04	7:38:04	7:48:04	7:58:04	8:08:04	8:18:04	8:28:04	8:38:04	8:48:04	8:58:04	9:08:04	9:18:04	9:28:04	9:38:04	9:48:04	9:58:04	10:08:04	10:18:04	10:28:04	10:38:04	10:48:04	10:58:04	11:08:04	11:18:04	11:28:04	11:38:04	11:48:04	11:58:04	12:08:04	12:18:04	12:28:04	12:38:04	12:48:04	12:58:04	13:08:04	13:18:04	13:28:04	13:38:04	13:48:04	13:58:04	14:08:04	14:18:04	14:28:04	14:38:04	14:48:04	14:58:04	15:08:04	15:18:04	15:28:04	15:38:04	15:48:04	15:58:04	16:08:04	16:18:04	16:28:04	16:38:04	16:48:04	16:58:04	17:08:04	17:18:04	17:28:04	17:38:04	17:48:04	17:58:04	18:08:04	18:18:04	18:28:04	18:38:04	18:48:04	18:58:04	19:08:04	19:18:04	19:28:04	19:38:04	19:48:04	19:58:04	20:08:04	20:18:04	20:28:04	20:38:04	20:48:04	20:58:04	21:08:04	21:18:04	21:28:04	21:38:04	21:48:04	21:58:04	22:08:04	22:18:04	22:28:04	22:38:04	22:48:04	22:58:04	23:08:04	23:18:04	23:28:04	23:38:04	23:48:04	23:58:04	24:08:04	
T° Optical Density:600	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,1	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,1	37,0	37,0	37,0	37,0	37,0	37,0	36,9	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	
A1	0,112	0,121	0,133	0,134	0,120	0,113	0,113	0,116	0,122	0,132	0,146	0,168	0,192	0,225	0,252	0,273	0,299	0,324	0,347	0,377	0,409	0,444	0,476	0,510	0,545	0,578	0,620	0,661	0,708	0,756	0,808	0,862	0,894	0,914	0,929	0,951	0,961	0,973	0,985	0,998	1,012	1,027	1,041	1,052	1,062	1,073	1,077	1,087	1,091	1,101	1,111	1,119	1,131	1,139	1,144	1,149	1,154	1,167	1,180	1,185	1,195	1,201	1,209	1,214	1,226	1,232	1,241	1,250	1,251	1,260	1,262	1,274	1,280	1,286	1,289	1,294	1,294	1,306	1,310	1,312	1,322	1,315	1,316	1,319	1,321	1,325	1,325	1,331	1,332	1,329	1,330	1,332	1,331	1,334	1,335	1,335	1,338	1,341	1,337	1,341	1,347	1,355	1,352	1,353	1,358	1,350	1,351	1,347	1,344	1,341	1,348	1,343	1,338	1,346	1,344	1,355	1,360	1,360	1,368	1,365	1,366	1,359	1,364	1,359	1,367	1,366	1,375	1,376	1,378	1,378	1,378	1,372	1,369	1,381	1,374	1,375	1,378	1,383	1,376	1,385	1,380	1,384	1,388	1,388	1,389	
A2	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,087	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,087	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	
A3	0,108	0,111	0,112	0,115	0,125	0,111	0,110	0,111	0,114	0,118	0,126	0,140	0,155	0,177	0,206	0,236	0,262	0,284	0,309	0,330	0,352	0,377	0,400	0,426	0,453	0,477	0,501	0,527	0,553	0,583	0,625	0,700	0,814	0,888	0,941	0,971	0,987	1,002	1,018	1,029	1,040	1,054	1,069	1,082	1,095	1,111	1,121	1,133	1,139	1,149	1,158	1,168	1,182	1,192	1,201	1,211	1,219	1,224	1,230	1,238	1,249	1,264	1,269	1,274	1,278	1,289	1,293	1,304	1,315	1,315	1,325	1,331	1,337	1,345	1,351	1,348	1,355	1,357	1,361	1,366	1,364	1,368	1,366	1,370	1,375	1,377	1,375	1,378	1,378	1,377	1,377	1,380	1,377	1,377	1,379	1,375	1,379	1,375	1,374	1,375	1,379	1,382	1,376	1,381	1,385	1,377	1,376	1,370	1,371	1,368	1,370	1,368	1,369	1,370	1,369	1,373	1,380	1,377	1,380	1,379	1,376	1,371	1,376	1,372	1,377	1,378	1,381	1,379	1,380	1,381	1,381	1,375	1,374	1,382	1,377	1,373	1,378	1,380	1,373	1,379	1,377	1,378	1,381	1,379	1,379	
A4	0,090	0,090	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,090	0,089	0,089	0,089	0,089	0,090	0,089	0,090	0,089	0,090	0,089	0,089	0,090	0,090	0,090	0,089	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	
A5	0,108	0,111	0,115	0,120	0,126	0,133	0,147	0,149	0,158	0,173	0,193	0,215	0,242	0,271	0,305	0,341	0,383	0,422	0,457	0,491	0,521	0,551	0,581	0,609	0,637	0,665	0,689	0,718	0,754	0,795	0,843	0,888	0,922	0,951	0,971	0,987	1,001	1,010	1,019	1,029	1,040	1,048	1,060	1,069	1,078	1,089	1,096	1,109	1,117	1,129	1,139	1,146	1,156	1,166	1,171	1,181	1,187	1,197	1,205	1,206	1,217	1,222	1,231	1,238	1,254	1,263	1,273	1,283	1,287	1,292	1,296	1,305	1,314	1,316	1,320	1,322	1,323	1,329	1,333	1,338	1,343	1,343	1,341	1,342	1,344	1,350	1,349	1,352	1,355	1,352	1,353	1,351	1,354	1,356	1,357	1,358	1,360	1,363	1,362	1,364	1,366	1,372	1,371	1,373	1,377	1,368	1,371	1,367	1,364	1,363	1,365	1,363	1,359	1,362	1,361	1,369	1,372	1,370	1,374	1,373	1,376	1,366	1,368	1,367	1,368	1,370	1,372	1,373	1,373	1,372	1,369	1,367	1,364	1,371	1,366	1,361	1,366	1,369	1,365	1,369	1,363	1,364	1,371	1,370	1,369	
A6	0,094	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,094	0,094	0,094	0,093	0,093	0,094	0,094	0,094	0,093	0,093	0,093	0,094	0,093	0,094	0,093	0,093	0,094	0,093	0,094	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,094	0,094	0,093	0,093	0,093	0,094	0,093	0,094	0,093	0,093	0,094	0,093	0,094	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	
A7	0,103	0,104	0,107	0,113	0,117	0,123	0,138	0,137	0,147	0,161	0,177	0,198	0,220	0,246	0,276	0,305	0,338	0,364	0,383	0,400	0,415	0,430	0,447	0,467	0,488	0,510	0,534	0,570	0,650	0,746	0,818	0,862	0,895	0,921	0,936	0,948	0,962	0,973	0,981	0,992	1,003	1,010	1,025	1,034	1,044	1,053	1,057	1,073	1,075	1,086	1,098	1,104	1,113	1,122	1,125	1,132	1,136	1,149	1,155	1,157	1,165	1,169	1,179	1,187	1,205	1,214	1,224	1,234	1,240	1,243	1,245	1,257	1,264	1,268	1,270	1,271	1,271	1,279	1,284	1,291	1,296	1,292	1,289	1,290	1,293	1,302	1,302	1,305	1,309	1,305	1,306	1,303	1,306	1,307	1,310	1,309	1,312	1,315	1,313	1,313	1,321	1,329	1,329	1,329	1,337	1,322	1,326	1,320	1,318	1,316	1,322	1,320	1,314	1,322	1,318	1,329	1,336	1,334	1,339	1,334	1,336	1,330	1,335	1,330	1,336	1,337	1,341	1,339	1,342	1,341	1,342	1,337	1,335	1,345	1,336	1,337	1,339	1,344	1,337	1,344	1,344	1,343	1,349	1,349	1,351	
A8	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,090	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,090	0,090	0,089	0,090	0,089	0,090	0,089	0,090	0,089	0,090	0,089	0,089	0,090	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,090	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	
A9	0,107	0,109	0,112	0,116	0,119	0,125	0,141	0,137	0,142	0,151	0,163	0,176	0,191	0,209	0,229	0,250	0,274	0,294	0,310	0,324	0,342	0,356	0,373	0,396	0,418	0,443	0,469	0,498	0,539	0,606	0,729	0,841	0,914	0,966	0,997	1,014	1,030	1,040	1,048	1,059	1,071	1,081	1,092	1,103	1,113	1,122	1,129	1,143	1,148	1,159	1,171	1,177	1,191	1,199	1,204	1,210	1,216	1,230	1,240	1,239	1,247	1,252	1,272	1,278	1,295	1,301	1,309	1,318	1,323	1,326	1,331	1,343	1,349	1,354	1,357	1,359	1,360	1,364	1,369	1,374	1,380	1,379	1,375	1,377	1,378	1,384	1,384	1,387	1,391	1,387	1,388	1,385	1,389	1,389	1,390	1,390	1,393	1,395	1,392	1,393	1,397	1,406	1,405	1,403	1,409	1,396	1,398	1,394	1,390	1,390	1,393	1,391	1,388	1,391	1,389	1,399	1,403	1,400	1,404	1,400	1,400	1,395	1,399	1,395	1,400	1,402	1,406	1,402	1,404	1,405	1,403	1,401	1,397	1,410	1,401	1,398	1,403	1,404	1,400	1,405	1,405	1,405	1,411	1,408	1,410	
