

Software Version	3.11.19



Experiment File Path:	C:\Users\PBE\Desktop\Alphonso\repeticion curvas EE\repetición placa 6 dia 1.xpt
Protocol File Path:	C:\Users\PBE\Desktop\CommonProtocolsPR\protocolosparalosplatereaders\DO_kinetic_37_24h_new_plates_agitation_constante.prt



Plate Number	Plate 1
Date	22/05/2023
Time	16:13:45
Reader Type:	Synergy HTX
Reader Serial Number:	2108057
Reading Type	Reader

Procedure Details

Plate Type	Nunc 96 flat bottom generic (Use plate lid)
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 1 °C
	Preheat before moving to next step
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:10:00, 145 Reads
    Shake	Orbital: 8:00 (MM:SS)
	Frequency: 365 cpm (2 mm)
    Read	Optical Density
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

Optical Density:600

Time	0:08:04	0:18:04	0:28:04	0:38:04	0:48:04	0:58:04	1:08:04	1:18:04	1:28:04	1:38:04	1:48:04	1:58:04	2:08:04	2:18:04	2:28:04	2:38:04	2:48:04	2:58:04	3:08:04	3:18:04	3:28:04	3:38:04	3:48:04	3:58:04	4:08:04	4:18:04	4:28:04	4:38:04	4:48:04	4:58:04	5:08:04	5:18:04	5:28:04	5:38:04	5:48:04	5:58:04	6:08:04	6:18:04	6:28:04	6:38:04	6:48:04	6:58:04	7:08:04	7:18:04	7:28:04	7:38:04	7:48:04	7:58:04	8:08:04	8:18:04	8:28:04	8:38:04	8:48:04	8:58:04	9:08:04	9:18:04	9:28:04	9:38:04	9:48:04	9:58:04	10:08:04	10:18:04	10:28:04	10:38:04	10:48:04	10:58:04	11:08:04	11:18:04	11:28:04	11:38:04	11:48:04	11:58:04	12:08:04	12:18:04	12:28:04	12:38:04	12:48:04	12:58:04	13:08:04	13:18:04	13:28:04	13:38:04	13:48:04	13:58:04	14:08:04	14:18:04	14:28:04	14:38:04	14:48:04	14:58:04	15:08:04	15:18:04	15:28:04	15:38:04	15:48:04	15:58:04	16:08:04	16:18:04	16:28:04	16:38:04	16:48:04	16:58:04	17:08:04	17:18:04	17:28:04	17:38:04	17:48:04	17:58:04	18:08:04	18:18:04	18:28:04	18:38:04	18:48:04	18:58:04	19:08:04	19:18:04	19:28:04	19:38:04	19:48:04	19:58:04	20:08:04	20:18:04	20:28:04	20:38:04	20:48:04	20:58:04	21:08:04	21:18:04	21:28:04	21:38:04	21:48:04	21:58:04	22:08:04	22:18:04	22:28:04	22:38:04	22:48:04	22:58:04	23:08:04	23:18:04	23:28:04	23:38:04	23:48:04	23:58:04	24:08:04	
T° Optical Density:600	36,1	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,1	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	
A1	0,101	0,101	0,102	0,103	0,106	0,108	0,111	0,116	0,124	0,137	0,157	0,184	0,210	0,253	0,297	0,315	0,331	0,358	0,375	0,389	0,401	0,414	0,423	0,434	0,445	0,453	0,461	0,469	0,480	0,497	0,512	0,532	0,555	0,580	0,616	0,669	0,799	0,954	1,029	1,071	1,097	1,116	1,132	1,146	1,158	1,172	1,182	1,196	1,209	1,218	1,226	1,239	1,247	1,255	1,262	1,268	1,277	1,286	1,292	1,299	1,307	1,317	1,323	1,330	1,339	1,343	1,350	1,358	1,365	1,372	1,382	1,386	1,390	1,396	1,401	1,410	1,412	1,417	1,421	1,424	1,428	1,436	1,435	1,440	1,441	1,449	1,452	1,453	1,453	1,459	1,462	1,465	1,469	1,471	1,473	1,472	1,474	1,471	1,475	1,475	1,478	1,483	1,482	1,484	1,483	1,485	1,487	1,487	1,490	1,488	1,491	1,492	1,491	1,492	1,495	1,496	1,497	1,496	1,497	1,497	1,497	1,500	1,500	1,502	1,504	1,507	1,506	1,506	1,505	1,507	1,510	1,510	1,510	1,512	1,513	1,513	1,516	1,517	1,517	1,518	1,521	1,521	1,523	1,525	1,525	
A2	0,088	0,087	0,088	0,087	0,087	0,087	0,088	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,088	0,087	0,088	0,088	0,088	0,087	0,088	0,087	0,088	0,088	0,087	0,088	0,087	0,087	0,087	0,087	0,088	0,087	0,088	0,087	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,089	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	
A3	0,100	0,101	0,102	0,104	0,105	0,111	0,112	0,116	0,123	0,132	0,147	0,169	0,197	0,235	0,270	0,306	0,347	0,397	0,441	0,485	0,538	0,574	0,622	0,629	0,627	0,643	0,648	0,658	0,663	0,669	0,678	0,684	0,696	0,718	0,793	0,887	0,972	1,016	1,043	1,058	1,073	1,086	1,099	1,112	1,124	1,135	1,146	1,158	1,167	1,179	1,186	1,198	1,204	1,215	1,226	1,234	1,241	1,250	1,259	1,264	1,274	1,280	1,287	1,298	1,305	1,313	1,321	1,326	1,335	1,345	1,356	1,361	1,368	1,376	1,381	1,389	1,393	1,400	1,404	1,407	1,413	1,421	1,422	1,426	1,427	1,435	1,438	1,442	1,443	1,448	1,452	1,455	1,460	1,462	1,464	1,466	1,467	1,470	1,472	1,473	1,477	1,480	1,480	1,483	1,483	1,487	1,490	1,491	1,493	1,492	1,496	1,496	1,499	1,498	1,502	1,504	1,506	1,507	1,506	1,508	1,508	1,511	1,511	1,511	1,516	1,520	1,516	1,517	1,516	1,520	1,524	1,523	1,520	1,525	1,527	1,526	1,528	1,530	1,531	1,532	1,534	1,535	1,538	1,541	1,540	
A4	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,087	0,088	0,087	0,087	0,088	0,087	0,087	0,088	0,087	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,089	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,089	0,088	0,088	0,089	0,088	0,089	0,089	0,088	0,088	0,089	0,088	0,088	0,088	0,089	0,088	0,088	0,089	0,089	0,088	0,089	0,089	0,088	0,089	0,089	0,088	0,089	0,089	0,088	0,089	0,088	0,088	0,089	0,089	0,089	0,089	0,089	0,090	0,089	0,089	0,089	0,089	0,090	0,090	0,090	0,090	0,090	0,090	0,088	0,088	0,089	
A5	0,092	0,093	0,093	0,093	0,094	0,094	0,096	0,096	0,098	0,101	0,105	0,112	0,121	0,134	0,149	0,169	0,194	0,227	0,264	0,298	0,321	0,345	0,362	0,377	0,395	0,415	0,440	0,462	0,488	0,538	0,610	0,694	0,797	0,871	0,919	0,936	0,957	0,968	0,981	0,993	1,012	1,023	1,037	1,049	1,062	1,075	1,084	1,097	1,111	1,124	1,134	1,147	1,155	1,167	1,178	1,185	1,197	1,208	1,217	1,225	1,237	1,250	1,262	1,272	1,282	1,289	1,297	1,302	1,308	1,315	1,325	1,328	1,332	1,339	1,343	1,353	1,357	1,362	1,365	1,366	1,371	1,380	1,377	1,383	1,382	1,389	1,391	1,392	1,392	1,397	1,401	1,404	1,407	1,410	1,410	1,410	1,413	1,411	1,413	1,416	1,416	1,427	1,426	1,427	1,426	1,430	1,431	1,431	1,437	1,435	1,438	1,439	1,439	1,440	1,445	1,446	1,449	1,448	1,448	1,449	1,450	1,454	1,453	1,456	1,459	1,463	1,461	1,462	1,461	1,463	1,466	1,467	1,465	1,466	1,470	1,468	1,470	1,473	1,472	1,473	1,476	1,477	1,480	1,482	1,482	
A6	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,088	0,089	0,088	0,088	0,088	0,089	0,088	0,089	0,088	0,089	0,088	0,088	0,089	0,089	0,088	0,089	0,089	0,089	0,089	0,089	0,088	0,088	0,089	0,089	0,089	0,089	0,089	0,088	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,090	0,090	0,089	0,089	0,089	0,089	0,090	0,089	0,089	0,089	0,090	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,090	0,090	0,089	0,090	0,089	0,089	0,089	0,089	0,089	0,090	0,090	0,089	0,090	0,089	0,090	0,089	0,090	0,089	0,089	0,090	0,089	0,089	0,089	0,090	0,090	0,089	0,089	0,089	
A7	0,104	0,105	0,106	0,107	0,108	0,109	0,112	0,115	0,120	0,126	0,134	0,143	0,156	0,170	0,188	0,209	0,232	0,256	0,281	0,306	0,328	0,346	0,360	0,377	0,394	0,415	0,435	0,453	0,472	0,487	0,501	0,517	0,538	0,561	0,594	0,635	0,700	0,805	0,932	1,015	1,067	1,106	1,132	1,149	1,167	1,185	1,195	1,210	1,223	1,235	1,244	1,254	1,262	1,270	1,278	1,284	1,294	1,302	1,308	1,317	1,323	1,334	1,340	1,345	1,355	1,360	1,367	1,375	1,379	1,385	1,394	1,401	1,406	1,414	1,419	1,428	1,432	1,438	1,444	1,445	1,450	1,457	1,458	1,463	1,464	1,472	1,477	1,478	1,481	1,488	1,492	1,497	1,500	1,504	1,505	1,506	1,508	1,506	1,510	1,510	1,514	1,522	1,520	1,523	1,522	1,527	1,528	1,529	1,532	1,531	1,533	1,534	1,534	1,536	1,538	1,542	1,542	1,542	1,542	1,541	1,540	1,544	1,545	1,546	1,550	1,552	1,551	1,550	1,550	1,552	1,555	1,557	1,554	1,554	1,560	1,560	1,562	1,563	1,564	1,563	1,565	1,568	1,569	1,572	1,571	
A8	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,089	0,090	0,090	0,089	0,089	0,089	0,089	0,089	0,089	0,090	0,089	0,089	0,089	0,090	0,089	0,089	0,089	0,090	0,089	0,090	0,090	0,089	0,089	0,090	0,089	0,090	0,090	0,089	0,089	0,090	0,090	0,089	0,090	0,090	0,090	0,089	0,090	0,090	0,089	0,089	0,090	0,090	0,090	0,090	0,089	0,090	0,090	0,090	0,090	0,090	0,090	0,089	0,089	0,090	0,089	0,090	0,089	0,089	0,089	0,090	
A9	0,101	0,102	0,104	0,106	0,108	0,113	0,117	0,122	0,131	0,145	0,169	0,207	0,265	0,318	0,390	0,440	0,509	0,575	0,624	0,679	0,712	0,770	0,777	0,795	0,808	0,821	0,848	0,854	0,872	0,889	0,915	0,933	0,956	0,988	1,014	1,030	1,071	1,077	1,093	1,099	1,109	1,113	1,116	1,120	1,128	1,135	1,139	1,153	1,161	1,170	1,175	1,188	1,190	1,199	1,208	1,214	1,222	1,232	1,239	1,244	1,253	1,261	1,268	1,276	1,284	1,291	1,298	1,306	1,311	1,315	1,327	1,330	1,337	1,344	1,350	1,361	1,370	1,381	1,385	1,389	1,398	1,404	1,405	1,412	1,413	1,422	1,426	1,428	1,431	1,439	1,443	1,450	1,452	1,460	1,463	1,463	1,468	1,465	1,468	1,471	1,477	1,485	1,487	1,488	1,490	1,492	1,494	1,499	1,503	1,501	1,505	1,506	1,506	1,507	1,511	1,515	1,516	1,517	1,516	1,517	1,516	1,521	1,521	1,523	1,526	1,529	1,528	1,528	1,527	1,529	1,533	1,534	1,532	1,536	1,539	1,538	1,542	1,544	1,545	1,546	1,549	1,550	1,552	1,554	1,554	
