Time	0:09:20	0:19:20	0:29:20	0:39:20	0:49:20	0:59:20	1:09:20	1:19:20	1:29:20	1:39:20	1:49:20	1:59:20	2:09:20	2:19:20	2:29:20	2:39:20	2:49:20	2:59:20	3:09:20	3:19:20	3:29:20	3:39:20	3:49:20	3:59:20	4:09:20	4:19:20	4:29:20	4:39:20	4:49:20	4:59:20	5:09:20	5:19:20	5:29:20	5:39:20	5:49:20	5:59:20	6:09:20	6:19:20	6:29:20	6:39:20	6:49:20	6:59:20	7:09:20	7:19:20	7:29:20	7:39:20	7:49:20	7:59:20	8:09:20	8:19:20	8:29:20	8:39:20	8:49:20	8:59:20	9:09:20	9:19:20	9:29:20	9:39:20	9:49:20	9:59:20	10:09:20	10:19:20	10:29:20	10:39:20	10:49:20	10:59:20	11:09:20	11:19:20	11:29:20	11:39:20	11:49:20	11:59:20	12:09:20	12:19:20	12:29:20	12:39:20	12:49:20	12:59:20	13:09:20	13:19:20	13:29:20	13:39:20	13:49:20	13:59:20	14:09:20	14:19:20	14:29:20	14:39:20	14:49:20	14:59:20	15:09:20	15:19:20	15:29:20	15:39:20	15:49:20	15:59:20	16:09:20	16:19:20	16:29:20	16:39:20	16:49:20	16:59:20	17:09:20	17:19:20	17:29:20	17:39:20	17:49:20	17:59:20	18:09:20	18:19:20	18:29:20	18:39:20	18:49:20	18:59:20	19:09:20	19:19:20	19:29:20	19:39:20	19:49:20	19:59:20	20:09:20	
T° 37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	36,9	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	36,9	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	37,0	
A1	0,102	0,102	0,102	0,102	0,103	0,103	0,104	0,105	0,107	0,109	0,113	0,118	0,125	0,133	0,144	0,156	0,169	0,184	0,201	0,219	0,241	0,263	0,283	0,305	0,326	0,345	0,363	0,379	0,396	0,410	0,423	0,436	0,447	0,459	0,470	0,483	0,493	0,502	0,512	0,522	0,532	0,545	0,557	0,568	0,579	0,590	0,602	0,614	0,627	0,640	0,653	0,668	0,681	0,697	0,711	0,726	0,743	0,759	0,774	0,794	0,813	0,832	0,850	0,872	0,894	0,916	0,938	0,960	0,981	1,016	1,028	1,051	1,073	1,097	1,122	1,147	1,171	1,198	1,224	1,251	1,277	1,304	1,331	1,359	1,382	1,405	1,428	1,448	1,468	1,478	1,489	1,491	1,496	1,492	1,497	1,504	1,510	1,518	1,525	1,532	1,540	1,546	1,552	1,558	1,563	1,571	1,578	1,586	1,595	1,602	1,610	1,618	1,626	1,634	1,643	1,651	1,658	1,666	1,674	1,681	1,688	
A2	0,091	0,091	0,091	0,091	0,091	0,090	0,091	0,090	0,091	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,091	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,091	0,090	0,091	0,090	0,091	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,090	0,091	0,090	0,091	0,090	0,091	0,090	0,090	0,090	0,091	0,090	0,090	0,090	0,091	0,090	0,090	0,091	0,090	0,091	0,090	0,090	
A3	0,099	0,100	0,101	0,102	0,104	0,108	0,112	0,118	0,127	0,139	0,155	0,172	0,192	0,214	0,241	0,271	0,296	0,322	0,345	0,378	0,420	0,439	0,464	0,478	0,499	0,519	0,541	0,564	0,587	0,605	0,624	0,642	0,664	0,685	0,704	0,726	0,747	0,768	0,791	0,813	0,835	0,855	0,875	0,899	0,924	0,948	0,970	0,991	1,012	1,032	1,053	1,076	1,095	1,115	1,135	1,154	1,174	1,196	1,216	1,236	1,254	1,274	1,292	1,311	1,331	1,350	1,368	1,386	1,404	1,420	1,437	1,452	1,466	1,478	1,489	1,500	1,510	1,518	1,526	1,534	1,542	1,549	1,556	1,562	1,567	1,572	1,577	1,582	1,587	1,593	1,596	1,604	1,608	1,612	1,615	1,620	1,623	1,625	1,626	1,627	1,627	1,628	1,626	1,627	1,628	1,628	1,629	1,630	1,631	1,632	1,633	1,634	1,635	1,637	1,640	1,641	1,643	1,644	1,646	1,647	1,648	
A4	0,091	0,091	0,090	0,090	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,092	0,091	0,092	0,092	0,091	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,093	0,093	0,092	0,093	0,093	0,092	0,092	0,093	0,092	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	
A5	0,102	0,102	0,103	0,105	0,108	0,111	0,115	0,120	0,129	0,140	0,155	0,174	0,198	0,228	0,261	0,290	0,319	0,340	0,371	0,400	0,425	0,448	0,473	0,519	0,534	0,543	0,572	0,592	0,606	0,624	0,644	0,663	0,680	0,697	0,711	0,722	0,735	0,747	0,759	0,773	0,783	0,796	0,808	0,821	0,835	0,849	0,863	0,879	0,891	0,906	0,927	0,945	0,960	0,979	0,999	1,016	1,032	1,049	1,068	1,093	1,118	1,143	1,165	1,187	1,215	1,246	1,274	1,295	1,315	1,336	1,357	1,379	1,397	1,415	1,435	1,452	1,468	1,481	1,494	1,504	1,514	1,524	1,532	1,540	1,547	1,554	1,561	1,565	1,571	1,576	1,579	1,583	1,587	1,586	1,590	1,593	1,591	1,593	1,592	1,592	1,595	1,594	1,596	1,596	1,599	1,600	1,601	1,603	1,605	1,606	1,605	1,607	1,608	1,609	1,611	1,611	1,612	1,613	1,613	1,615	1,616	
A6	0,094	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,092	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,093	0,092	0,093	0,092	0,093	0,093	0,092	0,092	0,093	0,092	0,093	0,092	0,093	0,093	0,092	0,092	0,093	0,092	0,092	0,093	0,092	0,093	0,093	0,093	0,093	0,093	0,093	0,092	0,092	0,093	0,092	0,093	0,092	0,092	0,093	0,092	0,092	0,093	0,093	0,092	0,093	0,092	0,092	0,093	0,092	0,092	0,093	0,092	0,093	0,092	0,092	0,093	0,093	0,092	0,092	0,092	0,092	0,092	0,092	0,093	0,092	0,092	0,092	0,092	0,092	0,093	0,092	0,093	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,093	0,092	0,092	0,092	0,092	0,092	0,092	
A7	0,096	0,097	0,097	0,098	0,100	0,103	0,106	0,110	0,117	0,126	0,140	0,156	0,177	0,203	0,239	0,274	0,299	0,328	0,366	0,406	0,436	0,461	0,475	0,506	0,508	0,541	0,557	0,568	0,584	0,604	0,622	0,641	0,656	0,669	0,687	0,697	0,712	0,722	0,732	0,744	0,752	0,764	0,776	0,785	0,796	0,807	0,819	0,833	0,844	0,858	0,872	0,892	0,902	0,920	0,933	0,951	0,974	0,995	1,018	1,039	1,060	1,080	1,102	1,124	1,148	1,171	1,193	1,217	1,241	1,264	1,287	1,310	1,332	1,352	1,374	1,394	1,413	1,429	1,445	1,460	1,473	1,485	1,495	1,505	1,513	1,521	1,528	1,534	1,540	1,545	1,550	1,555	1,559	1,564	1,567	1,571	1,574	1,578	1,582	1,587	1,590	1,592	1,597	1,595	1,598	1,597	1,597	1,597	1,601	1,601	1,604	1,603	1,607	1,606	1,610	1,609	1,611	1,611	1,614	1,614	1,618	
A8	0,091	0,091	0,090	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,091	0,092	0,091	0,092	0,092	0,091	0,092	0,092	0,091	0,091	0,092	0,092	0,091	0,092	0,092	0,092	0,092	0,092	0,091	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	0,092	
A9	0,097	0,098	0,098	0,099	0,100	0,102	0,105	0,109	0,117	0,127	0,142	0,162	0,189	0,221	0,261	0,305	0,343	0,365	0,388	0,418	0,454	0,492	0,500	0,513	0,534	0,564	0,583	0,595	0,607	0,619	0,637	0,656	0,664	0,684	0,695	0,705	0,713	0,720	0,730	0,742	0,745	0,753	0,765	0,775	0,784	0,795	0,806	0,818	0,828	0,835	0,846	0,870	0,887	0,906	0,929	0,949	0,965	0,981	1,001	1,020	1,040	1,058	1,077	1,097	1,123	1,141	1,164	1,192	1,209	1,235	1,265	1,281	1,310	1,321	1,350	1,362	1,386	1,407	1,419	1,433	1,446	1,460	1,471	1,482	1,492	1,501	1,510	1,518	1,525	1,529	1,532	1,535	1,539	1,540	1,544	1,546	1,547	1,549	1,550	1,551	1,552	1,555	1,556	1,558	1,560	1,561	1,562	1,564	1,567	1,567	1,568	1,570	1,571	1,573	1,575	1,578	1,577	1,579	1,581	1,583	1,584	
