Well	Integral:Integral[OpticalDensity:600]	maxOD:MeanMaxOD[OpticalDensity:600]	maxOD:tatMeanMaxOD[OpticalDensity:600]	CustomStatistics:MaxV[OpticalDensity:600]	CustomStatistics:YIntercept[OpticalDensity:600]	CustomStatistics:R[OpticalDensity:600]	CustomStatistics:R-Squared[OpticalDensity:600]	CustomStatistics:tatMaxV[OpticalDensity:600]	CustomStatistics:Lagtime[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmin[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmax[OpticalDensity:600]	Early_MaxV:MaxV[OpticalDensity:600]	Early_MaxV:R-Squared[OpticalDensity:600]	Early_MaxV:tatMaxV[OpticalDensity:600]	Early_MaxV:Lagtime[OpticalDensity:600]
A1	86687,970	1,408	23:48:04	5,589	-1,476	0,999	0,998	6:48:04	4:42:14	6:28:04	7:08:04	2,440	1,000	5:03:04	2:31:35
A2	7603,500	0,089	22:58:04	0,016	0,077	0,936	0,877	11:38:04	11:04:19	11:18:04	11:58:04	0,050	1,000	3:53:04	3:48:04
A3	87343,260	1,430	23:48:04	10,415	-3,696	0,996	0,992	7:08:04	6:04:45	6:48:04	7:28:04	6,590	1,000	2:23:04	1:59:23
A4	7708,290	0,090	2:38:04	0,017	0,067	0,803	0,645	21:28:04	22:02:11	21:08:04	21:48:04	-0,070	1,000	3:03:04	3:03:47
A5	89645,820	1,441	23:48:04	6,468	-1,730	1,000	0,999	6:28:04	4:44:08	6:08:04	6:48:04	2,370	1,000	4:23:04	2:21:06
A6	7833,690	0,091	0:28:04	-0,011	0,092	-0,839	0,703	1:08:04	0:26:15	0:48:04	1:28:04	-0,030	1,000	0:53:04	0:51:24
A7	96454,680	1,434	23:48:04	6,895	-0,616	0,983	0,967	2:38:04	1:47:36	2:18:04	2:58:04	11,120	1,000	2:43:04	2:09:40
A8	7595,370	0,088	21:48:04	0,012	0,086	0,795	0,632	1:28:04	1:04:44	1:08:04	1:48:04	0,050	1,000	1:43:04	1:32:04
A9	90425,100	1,463	23:48:04	10,990	-3,526	0,995	0,991	6:28:04	5:31:00	6:08:04	6:48:04	1,610	1,000	3:13:04	1:54:35
A10	7456,890	0,087	21:48:04	0,014	0,078	0,990	0,980	10:08:04	10:22:21	9:48:04	10:28:04	-0,040	1,000	5:03:04	4:58:04
A11	90440,340	1,426	23:48:04	4,678	-0,908	1,000	1,000	6:18:04	3:36:14	5:58:04	6:38:04	4,730	1,000	1:53:04	1:21:05
A12	7412,220	0,086	19:48:04	0,013	0,077	0,766	0,587	11:28:04	11:49:36	11:08:04	11:48:04	-0,040	1,000	2:43:04	2:38:04
B1	7573,080	0,088	0:28:04	0,011	0,074	0,839	0,703	21:28:04	22:35:20	21:08:04	21:48:04	-0,040	1,000	2:43:04	2:33:04
B2	88624,680	1,399	23:48:04	6,021	-1,339	0,998	0,996	6:18:04	3:58:40	5:58:04	6:38:04	3,050	1,000	3:13:04	1:46:57
B3	7596,240	0,088	0:28:04	-0,011	0,089	-0,930	0,864	2:08:04	1:31:42	1:48:04	2:28:04	0,040	1,000	2:33:04	2:40:34
B4	80974,110	1,327	23:48:04	7,726	-2,079	0,998	0,995	6:08:04	4:42:25	5:48:04	6:28:04	3,120	1,000	3:03:04	1:33:58
B5	7619,040	0,088	23:28:04	0,015	0,069	0,878	0,771	21:28:04	20:57:24	21:08:04	21:48:04	0,020	1,000	1:43:04	1:43:04
B6	92915,730	1,455	23:48:04	5,523	-0,524	0,999	0,999	2:38:04	1:52:38	2:18:04	2:58:04	6,360	1,000	2:43:04	1:59:36
B7	54630,420	0,997	23:48:04	3,287	-1,084	0,999	0,999	8:18:04	5:56:25	7:58:04	8:38:04	0,740	1,000	5:03:04	4:32:32
B8	86175,840	1,342	23:48:04	5,196	-0,290	1,000	0,999	1:58:04	1:16:54	1:38:04	2:18:04	5,500	1,000	1:43:04	1:19:54
B9	7615,380	0,090	0:28:04	-0,021	0,092	-0,947	0,896	2:08:04	1:56:38	1:48:04	2:28:04	0,050	1,000	1:43:04	1:42:04
B10	84858,180	1,335	23:48:04	5,967	-0,459	1,000	1,000	2:18:04	1:33:50	1:58:04	2:38:04	6,320	1,000	2:13:04	1:36:37
B11	7594,350	0,088	23:38:04	0,013	0,081	0,948	0,899	8:48:04	8:49:36	8:28:04	9:08:04	0,050	1,000	2:33:04	2:32:04
B12	98794,980	1,456	22:38:04	4,825	-0,290	1,000	1,000	2:18:04	1:22:14	1:58:04	2:38:04	5,530	1,000	4:13:04	2:19:29
C1	80137,260	1,336	23:48:04	7,108	-2,462	1,000	1,000	7:48:04	6:01:29	7:28:04	8:08:04	2,120	1,000	2:33:04	1:28:49
C2	7553,790	0,088	7:28:04	-0,016	0,095	-0,977	0,955	7:58:04	7:38:04	7:38:04	8:18:04	0,030	1,000	2:33:04	2:38:04
C3	76055,850	1,188	23:38:04	5,322	-0,888	0,994	0,988	3:48:04	3:04:07	3:28:04	4:08:04	7,330	1,000	3:43:04	3:15:37
C4	7562,520	0,088	0:28:04	0,010	0,081	0,945	0,893	10:08:04	10:54:04	9:48:04	10:28:04	0,040	1,000	2:33:04	2:33:04
C5	80624,040	1,285	23:48:04	3,775	-0,688	0,999	0,999	6:48:04	3:28:38	6:28:04	7:08:04	3,010	1,000	5:03:04	2:31:19
C6	7906,020	0,093	0:28:04	-0,015	0,093	-0,945	0,893	1:08:04	0:32:04	0:48:04	1:28:04	-0,030	1,000	1:13:04	1:01:24
C7	80109,960	1,170	23:38:04	4,759	-0,427	0,993	0,985	2:38:04	1:52:05	2:18:04	2:58:04	5,920	1,000	2:43:04	2:01:46
C8	7525,260	0,087	21:48:04	-0,011	0,089	-0,972	0,945	3:28:04	2:53:31	3:08:04	3:48:04	0,030	1,000	2:33:04	2:38:04
C9	86786,700	1,236	22:38:04	6,586	-0,648	0,998	0,995	2:48:04	1:54:53	2:28:04	3:08:04	8,170	1,000	2:53:04	2:06:54
C10	7782,600	0,091	21:48:04	-0,014	0,091	-0,962	0,925	1:08:04	0:42:21	0:48:04	1:28:04	-0,040	1,000	2:43:04	2:38:04
C11	80410,230	1,195	23:48:04	7,464	-0,993	0,999	0,997	3:18:04	2:26:16	2:58:04	3:38:04	8,680	1,000	3:13:04	2:33:14
C12	7780,830	0,091	0:28:04	-0,018	0,094	-0,914	0,835	3:28:04	2:53:37	3:08:04	3:48:04	0,040	1,000	3:03:04	3:08:04
D1	7560,000	0,088	6:58:04	0,038	0,073	0,700	0,490	6:18:04	6:29:07	5:58:04	6:38:04	-0,150	1,000	4:03:04	4:04:04
D2	91420,230	1,343	23:48:04	6,591	-0,957	0,987	0,975	4:38:04	2:42:52	4:18:04	4:58:04	9,450	1,000	4:33:04	3:18:09
D3	7643,220	0,089	20:38:04	0,014	0,071	0,990	0,980	21:28:04	21:13:47	21:08:04	21:48:04	-0,040	1,000	4:23:04	4:18:04
D4	92637,630	1,381	23:48:04	6,564	-0,946	0,998	0,996	4:28:04	2:38:45	4:08:04	4:48:04	7,770	1,000	4:33:04	2:56:04
D5	7691,310	0,089	22:18:04	0,036	0,086	0,972	0,945	0:48:04	0:32:31	0:28:04	1:08:04	0,050	1,000	0:43:04	0:38:04
D6	98051,130	1,531	21:38:04	5,275	-0,953	0,990	0,979	5:28:04	3:21:15	5:08:04	5:48:04	4,350	1,000	4:43:04	2:51:02
D7	7699,950	0,090	0:28:04	0,010	0,080	0,962	0,926	14:18:04	15:20:04	13:58:04	14:38:04	-0,030	1,000	2:43:04	2:34:44
D8	91585,800	1,328	23:48:04	6,288	-0,572	0,992	0,984	3:58:04	1:46:58	3:38:04	4:18:04	9,320	1,000	4:03:04	2:31:16
D9	7632,570	0,089	0:28:04	-0,010	0,090	-0,845	0,714	3:18:04	2:28:04	2:58:04	3:38:04	-0,030	1,000	1:23:04	1:21:24
D10	91404,990	1,359	23:48:04	6,247	-0,420	0,998	0,995	1:58:04	1:23:55	1:38:04	2:18:04	7,440	1,000	1:53:04	1:29:17
D11	7552,620	0,088	23:28:04	0,010	0,081	0,845	0,714	10:08:04	10:18:04	9:48:04	10:28:04	0,030	1,000	1:43:04	1:48:04
D12	96219,570	1,462	23:48:04	7,106	-0,600	0,998	0,997	2:18:04	1:38:04	1:58:04	2:38:04	7,700	1,000	2:13:04	1:41:13
E1	68582,940	1,198	23:48:04	2,906	-0,358	0,999	0,997	4:08:04	2:37:09	3:48:04	4:28:04	3,450	1,000	4:13:04	2:52:35
E2	7607,280	0,089	0:28:04	0,011	0,080	0,972	0,945	11:38:04	12:39:53	11:18:04	11:58:04	-0,030	1,000	1:23:04	1:18:04
E3	57844,020	1,027	23:48:04	2,689	-0,384	1,000	1,000	3:48:04	2:57:02	3:28:04	4:08:04	2,860	1,000	4:33:04	3:03:00
E4	7666,260	0,089	0:28:04	-0,013	0,092	-0,761	0,579	4:18:04	3:34:59	3:58:04	4:38:04	0,070	1,000	1:43:04	1:42:21
E5	57490,560	1,012	23:48:04	2,699	-0,369	0,997	0,994	4:08:04	2:51:15	3:48:04	4:28:04	3,160	1,000	4:23:04	3:04:20
E6	7534,020	0,088	0:28:04	-0,013	0,088	-0,806	0,650	1:08:04	0:44:59	0:48:04	1:28:04	-0,050	1,000	1:23:04	1:18:04
E7	58116,480	1,002	23:48:04	2,892	-0,417	1,000	0,999	4:28:04	2:54:59	4:08:04	4:48:04	3,060	1,000	4:33:04	3:00:13
E8	7552,620	0,088	0:28:04	-0,013	0,089	-0,901	0,813	1:08:04	0:31:09	0:48:04	1:28:04	-0,040	1,000	0:53:04	0:50:34
E9	61569,780	1,076	23:48:04	2,787	-0,335	0,999	0,997	3:58:04	2:34:09	3:38:04	4:18:04	3,350	1,000	4:13:04	2:50:54
E10	7888,890	0,092	21:28:04	0,013	0,075	0,853	0,728	21:08:04	20:55:46	20:48:04	21:28:04	-0,070	1,000	2:23:04	2:25:13
E11	63195,120	1,112	23:48:04	2,723	-0,295	0,997	0,993	3:38:04	2:22:31	3:18:04	3:58:04	3,620	1,000	3:53:04	2:45:00
E12	7401,660	0,086	21:48:04	-0,012	0,097	-0,832	0,692	15:48:04	16:14:44	15:28:04	16:08:04	0,030	1,000	4:43:04	4:44:44
F1	7527,090	0,088	0:28:04	-0,012	0,088	-0,986	0,973	1:08:04	0:41:24	0:48:04	1:28:04	0,040	1,000	2:33:04	2:43:04
F2	97299,870	1,520	23:48:04	4,788	-0,763	0,999	0,997	5:58:04	3:04:02	5:38:04	6:18:04	4,090	1,000	3:03:04	1:57:02
